Behavior,Start_Time_Entry,Stop_Time_Entry,Video_File_Name,Comments,
Bit_At_ZM,2:27,3:00,,,
Bit_At_ZM,0:00,0:09,MOV00024,,
Pace,0:09,0:38,,,
Breath,0:38,0:50,,,
Pace,0:50,1:11,,,
Breath,1:11,2:34,,,
Breath_Claw,2:34,3:00,,,
Claw,0:00,0:28,MOV00025,,
Pace,0:28,0:48,,,
Breath,0:48,1:04,,,
Pace,1:04,1:25,,,
Breath,1:25,2:00,,,
Breath_Claw,2:00,2:30,,,
Pace,2:30,3:00,,,
Pace,0:00,0:05,MOV00026,,
Breath,0:05,2:51,,,
Pace,2:51,3:00,,,
Pace,0:00,0:42,MOV00027,,
Breath,0:42,0:54,,,
Pace,0:54,1:24,,,
Bit_At_ZM,1:24,1:30,,,
Pace,1:30,1:46,,Control_Side,
Breath,1:46,1:58,,,
Pace,1:58,2:49,,ZM_Side,
Breath,2:49,3:00,,,
Breath,0:00,0:33,MOV00028,,
Pace,0:33,0:47,,,
Breath,0:47,1:30,,,
Bit_At_ZM,1:30,2:41,,,
Breath,2:41,3:00,,,
Breath,0:00,0:03,MOV00029,,
Bit_At_ZM,0:03,0:48,,,
Breath,0:48,1:04,,,
Pace,1:04,1:46,,,
Bit_At_ZM,1:46,1:58,,,
Breath,1:58,2:01,,,
Breath_Claw,2:01,2:40,,,
Bit_At_ZM,2:40,3:00,,,
Pace,0:00,0:30,MOV00030,,
Breath_Claw,0:30,1:50,,,
Ate_ZM,1:50,3:00,,,
Ate_ZM,0:00,3:00,MOV00031,,
Ate_ZM,0:00,2:33,MOV00032,,
Breath,2:33,2:44,,,
Smelled_ZM,2:44,3:00,,,
Smelled_ZM,0:00,0:32,MOV00033,,
Breath,0:32,0:47,,Control_Side,
Pace,0:47,1:09,,,
Breath,1:09,1:15,,,
Pace,1:15,1:33,,,
Breath,1:33,1:37,,,
Claw,1:37,2:00,,,
Breath,2:00,2:09,,,
Pace,2:09,2:34,,,
Breath,2:34,2:49,,,
Breath_Claw,2:49,3:00,,,
Pace,0:00,0:05,MOV00034,,
Bit_At_ZM,0:05,0:26,,ZM_Side,
Breath,0:26,0:34,,,
Pace,0:34,0:54,,,
Breath,0:54,0:58,,,
Pace,0:58,1:06,,,
Bit_At_ZM,1:06,1:40,,,
Breath,1:40,1:58,,,
Bit_At_ZM,1:58,2:44,,,
Sit,2:44,3:00,,,
Pace,0:00,0:26,MOV00035,,
Claw,0:26,1:10,,,
Breath,1:10,1:25,,,
Pace,1:25,1:57,,,
Claw,1:57,3:00,,,
Sit,0:00,0:06,MOV00036,,
Breath,0:06,0:16,,,
Claw,0:16,1:04,,,
Pace,1:04,1:10,,,
Smelled_ZM,1:10,1:20,,,
Pace,1:20,1:58,,,
Breath,1:58,2:17,,,
Pace,2:17,2:40,,,
Breath,2:40,2:56,,,
Pace,2:56,3:00,,,
Pace,0:00,0:07,MOV00037,,
Claw,0:07,1:01,,,
Breath,1:01,1:57,,,
Claw,1:57,3:00,,,
Claw,0:00,0:24,MOV00038,,
Breath,0:24,0:49,,,
Claw,0:49,1:32,,,
Breath,1:32,1:43,,,
Claw,1:43,3:00,,,
Claw,0:00,0:05,MOV00039,,
Breath,0:05,1:00,,,
Pace,1:00,1:08,,,
Bit_At_ZM,1:08,1:57,,,
Pace,1:57,2:31,,,END
